2021-01-24 18:02:36 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:02:36 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:02:36 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- number of negative numbers: 1
2021-01-24 18:02:36 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:02:36 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:02:36 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- number of positive numbers: 6
2021-01-24 18:02:36 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:02:36 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:02:36 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- sum of all array elements: 29
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- set array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- Average value: 3.625
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- max value: 12
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- min value: -8
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- number of negative numbers: 1
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- number of positive numbers: 6
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:03:32 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- sum of all array elements: 29
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- set array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- Average value: 3.625
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- max value: 12
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- min value: -8
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- number of negative numbers: 1
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- number of positive numbers: 6
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
